name,status,country_code,funding_total_usd,category_list
Genoa Color Technologies,operating,ISR,5000000,Hardware + Software
GetJob,operating,ISR,34181,Human Resources|Marketplaces|Mobile|Recruiting|Small and Medium Businesses
Idomoo,operating,ISR,9000000,Enterprise Software
SolarEdge,ipo,ISR,85000000,Clean Technology|Renewable Energies|Solar
Traffix Systems,acquired,ISR,8400000,Web Hosting
Valens Semiconductor,operating,ISR,21000000,Semiconductors
ARTsys360,operating,ISR,1298798,Physical Security|Security
OptimalPlus,operating,ISR,72000000,Software
Orad,ipo,ISR,28765834,Security
Streaming Era,operating,ISR,205000,Education|Enterprise Software
Tactiga,operating,ISR,40000,Consulting
Revizer,operating,ISR,20000000,Curated Web
Apparent,operating,ISR,Nan,Babies|Mobile|Networking|Parenting
BiolineRx,ipo,ISR,63100000,Biotechnology
BioMarCare Technologies,operating,ISR,1000000,Biotechnology|Health Diagnostics
Bloggerce,closed,ISR,20000,Blogging Platforms|E-Books|Software
Brainsway,ipo,ISR,11800000,Health and Wellness
Browz'In,operating,ISR,483000,Algorithms|Analytics|Big Data|Fashion|Location Based Services|Shopping
Cell Cure Neurosciences,operating,ISR,4840000,Biotechnology
Deeplink,operating,ISR,750000,Mobile|Web Tools
Chiasma,ipo,ISR,176000000,Biotechnology
ClassifEye,closed,ISR,1530000,Software
Correlor,operating,ISR,Nan,Analytics|Internet Marketing|Sales and Marketing
CrossReader,closed,ISR,Nan,Curated Web|Ediscovery|Search
Curiyo,operating,ISR,2880000,Software
Eden Shield,operating,ISR,1000000,Environmental Innovation|Green|Sustainability
Evision Systems,closed,ISR,350000,Cloud Infrastructure|E-Commerce|SaaS
EyeYon,operating,ISR,6600000,Health Care|Life Sciences|Pharmaceuticals
Freightos,operating,ISR,23300000,B2B|Logistics|Shipping|Software|Supply Chain Management|Transportation
Fundz,operating,ISR,200000,Social Media|Startups
G.ho.st,closed,ISR,3000000,Cloud Computing|Web Hosting
Gamida Cell,operating,ISR,49793964,Biotechnology
Glide,operating,ISR,28500000,Messaging|Mobile
sherut.net / שירות.נט,operating,ISR,1000000,Contact Centers|Customer Service|Software
Hadasit Bio Holdings,ipo,ISR,2000000,Biotechnology
iMER,operating,ISR,7000000,Health Care
Intec Pharma,ipo,ISR,5000000,Biotechnology
JamStar,operating,ISR,800000,Software
KAHR medical,operating,ISR,4950000,Biotechnology
Kivun Hadash,operating,ISR,550000,Content Delivery|Publishing|Software
Lightricks,operating,ISR,10000000,Software|Technology
Mango DSP,operating,ISR,8000000,Hardware + Software
Navajo Systems,closed,ISR,Nan,Security
NovellusDx,operating,ISR,16000000,Health and Wellness|Health Care|Hospitals|Life Sciences|Medical|Personal Health
NowForce,operating,ISR,4000000,Software
Opticul Diagnostics,operating,ISR,450000,Health Diagnostics|Medical Devices
Oramed Pharmaceuticals,ipo,ISR,54387500,Biotechnology
OrCam Technologies,operating,ISR,15000000,Health and Wellness
OurCrowd,operating,ISR,25000000,Crowdfunding|Startups|Venture Capital
ProtAb,operating,ISR,4000000,Biotechnology|Pharmaceuticals
ReplyAll,operating,ISR,350000,Blogging Platforms|Consumer Internet|Content|Digital Media|SaaS
Revelator,operating,ISR,650000,Analytics|Business Intelligence|Enterprise Software|Mobile|Music|SaaS
Sight Diagnostics,operating,ISR,6,Health Care
Silenseed,operating,ISR,500000,Biotechnology|Pharmaceuticals
Sportomania,operating,ISR,70000,Sports
The Elegant Monkeys,operating,ISR,Nan,Apps|Mobile|Social Network Media
ThetaRay,operating,ISR,15000000,Big Data Analytics|Security
Tiltan Pharma,operating,ISR,1500000,Biotechnology|Pharmaceuticals
uiu,operating,ISR,Nan,Apps|Kids|Mobile
Umoove,operating,ISR,2750000,mHealth|Software
Valooto NanNan Sales Engagement Cloud,operating,ISR,1500000,Cloud Computing|CRM|Estimation and Quoting|SaaS|Sales Automation|Software
ZUtA Labs,operating,ISR,500000,Printing
LaraPharm,operating,ISR,1500000,Biotechnology
Magenta Medical,operating,ISR,4000000,Health Care|Medical|Medical Devices
Pango,operating,ISR,6500000,Mobile|Mobile Payments|Payments
Inango Systems Ltd,operating,ISR,160000,B2B|Internet|Software
Camero,acquired,ISR,23000000,Hardware + Software
LucidLogix Technologies,operating,ISR,40000000,Software
Sansa Security,acquired,ISR,10000000,Security
Zooz,operating,ISR,16500000,Developer APIs|E-Commerce|Payments|Startups|Venture Capital
Pixoneye,operating,ISR,120753,Computer Vision|Deep Information Technology|Marketing Automation|Real Time|Software
Bday,operating,ISR,4000000,Social Media
bTendo,acquired,ISR,7000000,Hardware + Software
CartiHeal,operating,ISR,20000000,Health Care
Clip Fort Ltd.,operating,ISR,1200000,Biometrics|Defense|Security
Drupe Mobile,operating,ISR,1000000,Contact Management|Location Based Services|Messaging|Mobile
InfoGin,operating,ISR,5000000,Advertising|Mobile|Telecommunications
Kyma Medical Technologies,acquired,ISR,10000000,Health Care|Health Care Information Technology
LiveU,operating,ISR,50000000,Broadcasting|News|Video Streaming
MNanStream,operating,ISR,1500000,Technology
magnetU,operating,ISR,180000,File Sharing|Gadget|Mobile|Social Media
MetaCure,operating,ISR,20000000,Biotechnology|Diabetes|Electronics
modu,closed,ISR,85000000,Mobile|Wireless
My Single Point,operating,ISR,2000000,Application Platforms|Enterprise Software|PaaS|Software
NNanTrig,acquired,ISR,159968498,Embedded Hardware and Software|Hardware + Software
NLT SPINE,operating,ISR,5700000,Biotechnology
Orad HiNanTech Systems,acquired,ISR,6600000,3D|Broadcasting|Video Streaming
Oxitone Medical,operating,ISR,3000000,Medical Devices
Panoramic Power,acquired,ISR,26500000,Clean Technology
Pebbles Interfaces,acquired,ISR,11450000,Hardware + Software|Mobile
PlaySight,operating,ISR,5000000,Sports
PureSight,acquired,ISR,3100000,Internet|IT and Cybersecurity|SaaS
SPO,operating,ISR,250000,Hardware + Software
SPO Medical,operating,ISR,688250,Biotechnology|Medical Devices
Kaiima,operating,ISR,83000000,Biotechnology
ClearForest,acquired,ISR,10000000,Natural Language Processing|Neuroscience|Semantic Web|Software|Text Analytics
AMOtech,closed,ISR,400000,Apps|Mobile|Startups
BioProtect,operating,ISR,1650000,Health Care|Medical Devices
CAL Cargo Airlines,operating,ISR,8000000,Public Transportation
SafePeak/DCF Technologies,operating,ISR,860000,Software
Digital Trowel,operating,ISR,Nan,Business Intelligence|Knowledge Management|Mobile Devices|Natural Language Processing|Neuroscience|Software
Glycominds,closed,ISR,1000000,Biotechnology|Health Diagnostics
OriginGPS,operating,ISR,2650000,Hardware + Software
Ornim Medical,operating,ISR,55000000,Health Care
Real Imaging Holdings,operating,ISR,1644000,Health Care
SodaStream,ipo,ISR,9300000,Consumer Electronics|Entertainment|Hardware + Software|Health and Wellness
TransPharma Medical,closed,ISR,18000000,Biotechnology
whodoyou,operating,ISR,900000,Curated Web|Internet|Reviews and Recommendations|Social Media
Web Designed Rooms,operating,ISR,Nan,Design|E-Commerce|Lighting
Enzymotec,ipo,ISR,11000000,Biotechnology
Jordan Valley Semiconductors,acquired,ISR,11000000,Hardware + Software
TowerJazz,ipo,ISR,95000000,Semiconductors
Gordian Surgical,operating,ISR,1000000,Biotechnology
ElastiMed,operating,ISR,1000000,Health Care|Medical Devices
Medgenics,ipo,ISR,45626066,Biotechnology
Nephera,operating,ISR,2800000,Health Care|Medical Devices
NeuroQuest,operating,ISR,Nan,Biotechnology
Polytouch Medical,closed,ISR,830000,Health Care
Stimatix GI,operating,ISR,1000000,Health Care|Medical Devices
Trendlines Group,operating,ISR,3484779,
Trendlines Medical,operating,ISR,1000000,Medical Devices
VivoText,operating,ISR,2300000,Audio|Media|Publishing|Robotics|Software
ApiFix,operating,ISR,Nan,Biotechnology|Medical Devices
LapSpace,operating,ISR,1000000,Hardware + Software
MitrAssist,operating,ISR,1000000,Biotechnology
PBC Lasers,operating,ISR,1500000,Lasers|Project Management|Television
S.T. Stent,operating,ISR,450000,Health Care|Medical Devices
Virtual Ports,operating,ISR,3700000,Health Care
BriefCam,operating,ISR,14300000,Defense|Law Enforcement|Security|Software
Eximo Medical,operating,ISR,1600000,Health Care
Resolute Networks,operating,ISR,15000000,Web Hosting
Rontal Applications,acquired,ISR,3500000,Security
Trainica,operating,ISR,Nan,Career Management|SaaS|Software|Training
TrenDemon,operating,ISR,200000,Content Discovery|Internet Marketing|Marketing Automation|Predictive Analytics
Datumate,operating,ISR,5000000,Civil Engineers
CartiCure,operating,ISR,600000,Health Care
Nano Dimension,ipo,ISR,13100000,Printing
OrSense,operating,ISR,18000000,Health Care
PROLOR Biotech,acquired,ISR,26399991,Biotechnology
Advanced MemNanTech,operating,ISR,5000000,Clean Technology
Atox Bio,operating,ISR,26250000,Biotechnology
BiondVax,ipo,ISR,1300000,Bio-Pharm|Health Care|Health Care Information Technology
Collplant,operating,ISR,17300000,Health Care
Mapi Pharma,operating,ISR,10000000,Pharmaceuticals
Moovit,operating,ISR,81500000,Crowdsourcing|Navigation|Public Transportation|Transportation
NanoPass Technologies,operating,ISR,6500000,
Applicasa,operating,ISR,1000000,Mobile
Aquarius Spectrum,operating,ISR,2200000,Clean Technology
CompassNanEOS,operating,ISR,120000000,Networking|Public Relations
EZ2CAD,closed,ISR,450000,Enterprise Software
HeadSense Medical,operating,ISR,Nan,Health Care
Humbug Telecom Labs,operating,ISR,Nan,Analytics|Telecommunications|VoIP
Intercast Networks,operating,ISR,12000000,News
JethroData,operating,ISR,12600000,Analytics|Big Data|Software
JFrog,operating,ISR,11500000,Enterprise Software|Software|Web Development
Jungo Software,acquired,ISR,5500000,Distribution|Information Services|Media
KIDOZ,operating,ISR,4700000,Kids|Mobile|Software
Lucid Information Technology,closed,ISR,12000000,
Manage Your Trip Ltd,operating,ISR,1100000,Software|Technology|Tourism
Metis Technologies,operating,ISR,8000000,Enterprise Software
Mysticom,operating,ISR,28000000,Data Centers|Enterprises|Networking|Storage
Niti Surgical Solutions,operating,ISR,18500000,Biotechnology
Olista,closed,ISR,24000000,Analytics|Software
Outbrain,operating,ISR,149000000,Content|Curated Web|Reviews and Recommendations
Plurality,operating,ISR,12000000,Hardware + Software
PNMsoft,operating,ISR,3300000,Business Development|Business Productivity|Software
Prolify,closed,ISR,4000000,Messaging
Sensible Medical Innovations,operating,ISR,20000000,Biotechnology
Siano Mobile Silicon,operating,ISR,106000000,Hardware + Software
Signals Group,operating,ISR,15000000,Analytics|Big Data|Business Intelligence|Intelligent Systems|New Product Development|Product Development Services
SolarPower Israel,operating,ISR,1100000,Clean Technology
SupportSpace,closed,ISR,36250000,Collaboration|Software
Trivnet,acquired,ISR,18000000,E-Commerce
TytoCare,operating,ISR,18500000,Health Care|Health Care Information Technology|Medical Devices|Mobile Health
velingo,operating,ISR,Nan,Search
Zazoo,operating,ISR,3100000,Music
ZikBit,operating,ISR,8000000,Semiconductors
Seraphim Sense,operating,ISR,1100000,Corporate Wellness|Health and Wellness|mHealth|Wearables
Medigus,ipo,ISR,26706296,Health Care
MultiPON Networks,operating,ISR,500000,Semiconductors
Cnoga Medical,operating,ISR,12500000,Health Care|Medical Devices
Medical Compression Systems,operating,ISR,Nan,Medical Devices|Therapeutics
PressNansense,acquired,ISR,14000000,Software
Regentis Biomaterials,operating,ISR,10000000,Biotechnology
Cellvine,operating,ISR,4000000,Mobile
Crescendo Networks,acquired,ISR,24500000,Web Hosting
IntellinX,acquired,ISR,4000000,Security|Software
iSale Global,operating,ISR,150000,Mobile|Retail|Sales Automation
Magic Software Enterprises,ipo,ISR,3724994,Application Platforms|Cloud Computing|Enterprises
MediaBoost,operating,ISR,6200000,Advertising
Mempile,closed,ISR,10500000,Hardware + Software
MyHeritage,operating,ISR,49000000,Social Media
Treato,operating,ISR,14500000,Big Data|Health and Wellness|Health Care|Health Care Information Technology|Natural Language Processing|Neuroscience|Pharmaceuticals|Social Media
Valtech Cardio,acquired,ISR,17800000,Health Care
Vascular Biogenics Ltd.,operating,ISR,15000000,Bio-Pharm|Biotechnology|Healthcare Services
ECI Telecom,operating,ISR,222500000,Web Hosting
Allcloud,operating,ISR,6000000,Cloud Computing|Cloud Infrastructure|Consulting
Aposense,ipo,ISR,22300000,Biotechnology
Arcos Technologies,operating,ISR,500000,Web Hosting
Aspectiva,operating,ISR,2800000,Consumer Internet|Curated Web
Backand,operating,ISR,1710000,Development Platforms|Software|Web Development
BioPetroClean,operating,ISR,8000000,Clean Technology
BrightView Systems,closed,ISR,6000000,Clean Technology
CanFite BioPharma,ipo,ISR,31000002,Biotechnology
Celtro,operating,ISR,35230812,Mobile
Commil,operating,ISR,7000000,Technology
Connesta,operating,ISR,1300000,Broadcasting|Enterprise Software|SaaS|Video
CTERA Networks,operating,ISR,45000000,Cloud Data Services|Cloud Infrastructure|Mobile Enterprise|Software|Storage
DBmaestro,operating,ISR,Nan,Enterprises
Gasngo,operating,ISR,12000000,Hardware + Software
GreenIQ,operating,ISR,2230000,Home Automation|Home & Garden|Internet of Things
iChoose Applications LTD.,operating,ISR,1200000,Apps|Mobile|Software
Infinity Augmented Reality,ipo,ISR,7500000,Software
Internet Gold Nan Golden Lines,ipo,ISR,79000000,Web Hosting
Larotec,operating,ISR,3000000,Software
MacroCure,ipo,ISR,13000000,Biotechnology
Mantis Vision,operating,ISR,22200000,3D|Software|Technology
MedAware,operating,ISR,1000000,Health Care
MySiteApp,operating,ISR,3650000,Mobile
Oversi,acquired,ISR,20800000,Hardware + Software
PolyPid,operating,ISR,3400000,Biotechnology
PowerID,closed,ISR,12000000,
Prana Essentials,operating,ISR,575000,Dietary Supplements|Fitness|Health and Wellness|Health Care
Pythagoras Solar,operating,ISR,10000000,Clean Technology
RotaryView,operating,ISR,Nan,3D|E-Commerce|Internet|Video
Seculert,operating,ISR,15850000,Enterprises|Network Security|Security
Siklu,operating,ISR,49000000,Mobile
Spaceek,operating,ISR,572000,
Travee,operating,ISR,950000,Android|Apps|Messaging|Software|VoIP
AIT,operating,ISR,1250000,Biotechnology|Pharmaceuticals
ShopEat,operating,ISR,80000,Hospitality|Recipes
Allpix Innovation,closed,ISR,Nan,
Omrix Biopharmaceuticals,acquired,ISR,4840000,Biotechnology|Health and Wellness|Life Sciences|Medical
cCAM Biotherapeutics,acquired,ISR,Nan,Biotechnology
MarketYze,operating,ISR,1600000,Analytics|Big Data|E-Commerce|Price Comparison|Retail
2WinNanSolutions,closed,ISR,Nan,Collaboration|Networking|Project Management|SaaS|Software|Task Management
Advasense,acquired,ISR,24000000,Semiconductors
Applango,operating,ISR,401500,Enterprise Software|SaaS|Software
CallVU,operating,ISR,Nan,Customer Service|Customer Support Tools|Interface Design|Visualization
Carambola Media,operating,ISR,5000000,Advertising|Video
Celeno,operating,ISR,68200000,Semiconductors
Cemmerce,operating,ISR,500000,Advertising
Codota,operating,ISR,500000,Android|Software|Technology
DesignArt Networks,acquired,ISR,2000000,Software
Edge Medical Devices,closed,ISR,18000000,Health Care Information Technology|Medical Devices
Exanet,acquired,ISR,35000000,Storage
Groundwork BioAg,operating,ISR,Nan,Agriculture
Insightix,operating,ISR,6000000,Security
InstallFree,acquired,ISR,11499997,Meeting Software|Software|Virtualization
LocalYoo.com,operating,ISR,Nan,Collaborative Consumption|Incentives|Local|Marketplaces|Travel
Namogoo,operating,ISR,5000000,Computers|Security
Navin,operating,ISR,Nan,Internet
Percello,acquired,ISR,12000000,Semiconductors
Pontis,operating,ISR,34650000,Big Data Analytics|Marketing Automation|Mobile Analytics|Telecommunications
Qomuty,operating,ISR,Nan,Software
RDV Systems,operating,ISR,1000000,Civil Engineers
Screenovate,operating,ISR,Nan,Android|Apps|Cloud Computing
Sensegon,operating,ISR,3350000,Ad Targeting|Advertising|Sales and Marketing|Social Media|Technology
SimulTrader,operating,ISR,70000,Financial Services
Smart Medical Systems,operating,ISR,6500000,Manufacturing|Medical Devices|Product Development Services
Storone,operating,ISR,Nan,Web Hosting
TheraCoat,operating,ISR,7000000,Biotechnology|Pharmaceuticals
Todacell,operating,ISR,4350000,Advertising
Virtual Web,closed,ISR,1000000,Advertising
Yadwire Technology,operating,ISR,2077428,Advertising|Mobile Advertising|Wireless
PulmOne,operating,ISR,500000,Health and Wellness|Health Care|Medical Devices
Anagog,operating,ISR,1000000,Apps|Navigation|Parking|Social + Mobile + Local|Transportation
BLender,operating,ISR,5000000,Financial Services
blogTV,acquired,ISR,3000000,Broadcasting|Chat|Games
CamNanTrax Technologies,operating,ISR,200000,Games|Hardware
ClickTale,operating,ISR,60000000,Analytics|Business Analytics|E-Commerce|SaaS
CouponRoller,operating,ISR,100000,E-Commerce
Cymmetria,operating,ISR,10600000,Enterprise Security
EarlySense,operating,ISR,53000000,Biotechnology
Earnix,operating,ISR,10000000,Analytics|Banking|Finance|Financial Services|Insurance|Price Comparison
eVolution Networks,operating,ISR,22500000,Energy Efficiency|Public Relations
Expert Dynamics,acquired,ISR,450000,Software
GamyTech,operating,ISR,500000,Game
GINanView,operating,ISR,33942342,Health and Wellness
Imonomy Interactive,operating,ISR,1900000,Advertising|Advertising Platforms|Monetization|Software
IMScouting,closed,ISR,Nan,Curated Web|Sports
Insights,operating,ISR,80000,Crowdsourcing|Government Innovation|Innovation Management
iOnRoad,operating,ISR,150000,Mobile
Kampyle,operating,ISR,1000000,Analytics|Reviews and Recommendations
LightCyber,operating,ISR,16000000,Security
MazeBolt Technologies,operating,ISR,Nan,Cyber Security|Security
Mixers,closed,ISR,100000,Facebook Applications|Online Dating|Psychology|Social Media
MyPermissions,operating,ISR,2600000,Cloud Security|Security
NetMovies,operating,ISR,Nan,Games
Nutrinia,operating,ISR,13000000,Pharmaceuticals
Optimata,operating,ISR,1500000,Biotechnology
Oree Advanced Illumination Solutions,operating,ISR,7000000,Clean Technology
PhotoMania,operating,ISR,3000000,Art|Facebook Applications|File Sharing|Photography
RedHill Biopharma,ipo,ISR,70200000,Biotechnology
Rewardpod,operating,ISR,1000000,Internet
Rocketick,operating,ISR,5500000,Hardware + Software
Sckipio Technologies,operating,ISR,27000000,Semiconductors
Screenz,operating,ISR,5000000,Entertainment
Semperis,operating,ISR,Nan,Computers|Cyber Security|Service Providers|Software
Sling,operating,ISR,1100000,Financial Services|FinTech|Mobile Payments|Retail Technology|Vending and Concessions
Spacecom,operating,ISR,293000000,Broadcasting|Industrial|Public Relations
StoreDot,operating,ISR,76000000,Biotechnology
Tonara,operating,ISR,9750000,Music
TransChip,operating,ISR,19000000,Design|Semiconductors|Sensors
Tweegee,operating,ISR,3000000,Entertainment|Games|Kids|Social Network Media|Virtual Worlds
Weesh,operating,ISR,Nan,Reviews and Recommendations|Shared Services|Social Network Media
CogniTens,acquired,ISR,7000000,Software
Joongel,closed,ISR,100000,Browser Extensions|Search
Modular Patterns,operating,ISR,2000000,Blogging Platforms|Publishing|Service Providers|Web Tools
Evento,operating,ISR,750000,Enterprise Software|Entertainment|Facebook Applications|Mobile|Mobile Commerce|Sports|Ticketing
Agrinnovation,operating,ISR,4000000,
Beam Networks,operating,ISR,Nan,Telecommunications|Wireless
Bulbee,operating,ISR,25000,Energy Efficiency|SaaS|Social Network Media
ClearNanCut Medical,operating,ISR,Nan,Health Care|Hospitals|Medical
Efranat,operating,ISR,4500000,Health and Wellness|Medical|Pharmaceuticals
